date,category,tags,expense,income,amount_clp,description,day
2025-06-02,Food & Drinks,coffee & tea,12600.0,0.0,12600.0,Circular coffee beans,Monday
2025-06-03,Home & Utilities,home improvement,35990.0,0.0,35990.0,New mop,Tuesday
2025-06-03,Food & Drinks,coffee & tea,15000.0,0.0,15000.0,none,Tuesday
2025-06-03,Food & Drinks,groceries,3500.0,0.0,3500.0,none,Tuesday
2025-06-03,Home & Utilities,home improvement,26140.0,0.0,26140.0,Freemet cleaning supplies restock,Tuesday
2025-06-04,Leisure,books,2.17,0.0,2036.0,Project Hail Mary ebook,Wednesday
2025-06-04,Food & Drinks,restaurants,11453.0,0.0,11453.0,none,Wednesday
2025-06-05,Food & Drinks,restaurants,20130.0,0.0,20130.0,none,Thursday
2025-06-06,Food & Drinks,coffee & tea,3080.0,0.0,3080.0,none,Friday
2025-06-06,Education,AI,9900.0,0.0,9900.0,Structured Pro Annual,Friday
2025-06-07,Transport,taxi,8936.0,0.0,8936.0,none,Saturday
2025-06-07,Food & Drinks,restaurants,40040.0,0.0,40040.0,none,Saturday
2025-06-07,Transport,taxi,6638.0,0.0,6638.0,none,Saturday
2025-06-08,Food & Drinks,groceries,18724.0,0.0,18724.0,none,Sunday
2025-06-08,Food & Drinks,restaurants,11169.0,0.0,11169.0,none,Sunday
2025-06-10,Food & Drinks,restaurants,7300.0,0.0,7300.0,none,Tuesday
2025-06-10,Transport,travel card,4000.0,0.0,4000.0,none,Tuesday
2025-06-11,Transport,travel card,4000.0,0.0,4000.0,none,Wednesday
2025-06-11,Health & Personal Care,cosmetics,39043.0,0.0,39043.0,Natura creams ,Wednesday
2025-06-11,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-06-12,Food & Drinks,restaurants,12469.0,0.0,12469.0,none,Thursday
2025-06-12,Leisure,movies & TV,10.17,0.0,7398.0,none,Thursday
2025-06-13,Food & Drinks,groceries,32189.0,0.0,32189.0,none,Friday
2025-06-13,Transport,taxi,3450.0,0.0,3450.0,none,Friday
2025-06-13,Education,books/library,78440.0,0.0,78440.0,Silent Book Club lawyer payment,Friday
2025-06-13,Food & Drinks,groceries,17000.0,0.0,17000.0,none,Friday
2025-06-13,Health & Personal Care,medical services,136259.0,0.0,136259.0,Invisalign payment,Friday
2025-06-14,Leisure,events,30000.0,0.0,30000.0,Pincel y Copas,Saturday
2025-06-14,Education,AI,2990.0,0.0,2990.0,Bear Pro,Saturday
2025-06-14,Home & Utilities,utilities,14767.0,0.0,14767.0,Enel ,Saturday
2025-06-15,Food & Drinks,restaurants,12487.0,0.0,12487.0,none,Sunday
2025-06-16,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Monday
2025-06-16,Food & Drinks,restaurants,15589.0,0.0,15589.0,none,Monday
2025-06-17,Leisure,events,22600.0,0.0,22600.0,Comedy night,Tuesday
2025-06-17,Food & Drinks,coffee & tea,2290.0,0.0,2290.0,none,Tuesday
2025-06-17,Food & Drinks,groceries,30772.0,0.0,30772.0,none,Tuesday
2025-06-17,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Tuesday
2025-06-17,Food & Drinks,restaurants,37051.0,0.0,37051.0,none,Tuesday
2025-06-17,Transport,taxi,5595.0,0.0,5595.0,none,Tuesday
2025-06-18,Food & Drinks,restaurants,7537.0,0.0,7537.0,none,Wednesday
2025-06-18,Food & Drinks,restaurants,12469.0,0.0,12469.0,none,Wednesday
2025-06-18,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-06-19,Transport,travel card,4000.0,0.0,4000.0,none,Thursday
2025-06-19,Food & Drinks,restaurants,9390.0,0.0,9390.0,none,Thursday
2025-06-19,Food & Drinks,restaurants,13295.0,0.0,13295.0,none,Thursday
2025-06-19,Home & Utilities,gastos comunes,149251.0,0.0,149251.0,none,Thursday
2025-06-20,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Friday
