Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
2/20/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
2/21/25,DBS Savings,Home & Utilities,gastos comunes,"206,246",0,CLP,"206,246",CLP,
2/21/25,DBS Savings,Transport,taxi,"4,095",0,CLP,"4,095",CLP,
2/21/25,DBS Savings,Food & Drinks,restaurants,"3,000",0,CLP,"3,000",CLP,
2/21/25,DBS Savings,Education,,790,0,CLP,790,CLP,iCloud
2/21/25,DBS Savings,Education,,15.00,0,USD,"14,141.00",CLP,Upwork
2/21/25,DBS Savings,Education,AI,11.89,0,USD,"11,209.00",CLP,Google colab
2/21/25,DBS Savings,Food & Drinks,restaurants,"6,980",0,CLP,"6,980",CLP,
2/22/25,DBS Savings,Education,AI,14.50,0,USD,"13,670.00",CLP,Sudowrite
2/22/25,DBS Savings,Leisure,movies & TV,"13,500",0,CLP,"13,500",CLP,Disney Plus
2/22/25,DBS Savings,Clothing & Footwear,underwear,"79,970",0,CLP,"79,970",CLP,Bras and underwear from Women’s Secret
2/23/25,DBS Savings,Food & Drinks,restaurants,"9,550",0,CLP,"9,550",CLP,
2/24/25,DBS Savings,Food & Drinks,groceries,"11,700",0,CLP,"11,700",CLP,
2/24/25,DBS Savings,Food & Drinks,restaurants,"9,570",0,CLP,"9,570",CLP,
2/24/25,DBS Savings,Transport,taxi,"4,090",0,CLP,"4,090",CLP,
2/24/25,DBS Savings,Transport,taxi,"3,191",0,CLP,"3,191",CLP,
2/25/25,DBS Savings,Transport,travel card,"4,000",0,CLP,"4,000",CLP,
2/26/25,DBS Savings,Food & Drinks,groceries,"2,000",0,CLP,"2,000",CLP,
2/26/25,DBS Savings,Food & Drinks,restaurants,"14,209",0,CLP,"14,209",CLP,
2/27/25,DBS Savings,Food & Drinks,restaurants,"20,570",0,CLP,"20,570",CLP,
2/27/25,DBS Savings,Transport,taxi,"4,948",0,CLP,"4,948",CLP,
2/28/25,DBS Savings,Food & Drinks,restaurants,"9,550",0,CLP,"9,550",CLP,
2/28/25,DBS Savings,Food & Drinks,coffee & tea,"6,400",0,CLP,"6,400",CLP,
3/1/25,DBS Savings,Health & Personal Care,medicine,"23,140",0,CLP,"23,140",CLP,B12 supplement
3/1/25,DBS Savings,Food & Drinks,groceries,"60,720",0,CLP,"60,720",CLP,Aldea Nativa restock
3/1/25,DBS Savings,Leisure,books,0.83,0,SGD,591.00,CLP,
3/1/25,DBS Savings,Leisure,"events, music","84,874",0,CLP,"84,874",CLP,BIG TIME RUSH!
3/1/25,DBS Savings,Food & Drinks,groceries,"42,230",0,CLP,"42,230",CLP,
3/1/25,DBS Savings,Transport,taxi,"17,593",0,CLP,"17,593",CLP,
3/1/25,DBS Savings,Transport,taxi,"16,372",0,CLP,"16,372",CLP,
3/2/25,DBS Savings,Food & Drinks,groceries,"38,338",0,CLP,"38,338",CLP,
3/2/25,DBS Savings,Food & Drinks,coffee & tea,"1,000",0,CLP,"1,000",CLP,
3/3/25,DBS Savings,Leisure,violin,"70,000",0,CLP,"70,000",CLP,
3/3/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
3/4/25,DBS Savings,Home & Utilities,rent,"887,205",0,CLP,"887,205",CLP,
3/5/25,DBS Savings,Food & Drinks,restaurants,"9,354",0,CLP,"9,354",CLP,
3/6/25,DBS Savings,Transport,taxi,"4,197",0,CLP,"4,197",CLP,
3/6/25,DBS Savings,Food & Drinks,coffee & tea,"15,950",0,CLP,"15,950",CLP,
3/6/25,DBS Savings,Transport,taxi,"11,520",0,CLP,"11,520",CLP,
3/7/25,DBS Savings,Transport,taxi,"6,026",0,CLP,"6,026",CLP,
3/7/25,DBS Savings,Food & Drinks,coffee & tea,"14,839",0,CLP,"14,839",CLP,
3/7/25,DBS Savings,Transport,travel card,"4,000",0,CLP,"4,000",CLP,
3/8/25,DBS Savings,Transport,taxi,"4,742",0,CLP,"4,742",CLP,
3/8/25,DBS Savings,Health & Personal Care,gym/exercise,"3,000",0,CLP,"3,000",CLP,Outdoor  Zumba
3/8/25,DBS Savings,Food & Drinks,restaurants,"10,879",0,CLP,"10,879",CLP,
3/8/25,DBS Savings,Clothing & Footwear,accessories,"10,013",0,CLP,"10,013",CLP,Fitbit strap replacement
3/8/25,DBS Savings,Food & Drinks,groceries,"7,500",0,CLP,"7,500",CLP,
3/9/25,DBS Savings,Food & Drinks,restaurants,"14,980",0,CLP,"14,980",CLP,
3/9/25,DBS Savings,Health & Personal Care,cosmetics,"21,500",0,CLP,"21,500",CLP,Face wash and hair gel
3/9/25,DBS Savings,Health & Personal Care,medicine,"9,099",0,CLP,"9,099",CLP,Contact lens solution
3/10/25,DBS Savings,Home & Utilities,internet,"26,387",0,CLP,"26,387",CLP,
3/10/25,DBS Savings,Home & Utilities,utilities,"22,332",0,CLP,"22,332",CLP,Enel
3/11/25,DBS Savings,Clothing & Footwear,clothes,"42,180",0,CLP,"42,180",CLP,New clothes
3/11/25,DBS Savings,Food & Drinks,restaurants,"12,480",0,CLP,"12,480",CLP,
3/12/25,DBS Savings,Clothing & Footwear,clothes,"8,776",0,CLP,"8,776",CLP,Second hand clothes
3/12/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
3/12/25,DBS Savings,Food & Drinks,restaurants,"7,280",0,CLP,"7,280",CLP,
3/13/25,DBS Savings,Food & Drinks,groceries,"33,910",0,CLP,"33,910",CLP,
3/13/25,DBS Savings,Education,AI,23.80,0,USD,"22,243.00",CLP,ChatGPT
3/13/25,DBS Savings,Transport,taxi,"6,215",0,CLP,"6,215",CLP,
3/13/25,DBS Savings,Food & Drinks,restaurants,"12,408",0,CLP,"12,408",CLP,Casa Cien
3/14/25,DBS Savings,Health & Personal Care,massage,"36,000",0,CLP,"36,000",CLP,
3/14/25,DBS Savings,Home & Utilities,cat,"10,000",0,CLP,"10,000",CLP,Hair trim
3/14/25,DBS Savings,Food & Drinks,coffee & tea,"8,228",0,CLP,"8,228",CLP,Cool cats cafe
3/14/25,DBS Savings,Food & Drinks,restaurants,"9,300",0,CLP,"9,300",CLP,
3/15/25,DBS Savings,Health & Personal Care,medicine,"3,598",0,CLP,"3,598",CLP,Lexapro
3/15/25,DBS Savings,Education,,"2,990",0,CLP,"2,990",CLP,Bear Pro
3/16/25,DBS Savings,Food & Drinks,groceries,"3,500",0,CLP,"3,500",CLP,
3/17/25,DBS Savings,Food & Drinks,groceries,"18,970",0,CLP,"18,970",CLP,
3/18/25,DBS Savings,Health & Personal Care,medical services,"136,259",0,CLP,"136,259",CLP,Invisalign
3/19/25,DBS Savings,Food & Drinks,restaurants,"7,500",0,CLP,"7,500",CLP,
3/19/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
3/20/25,DBS Savings,Food & Drinks,coffee & tea,"5,610",0,CLP,"5,610",CLP,
3/21/25,DBS Savings,Food & Drinks,groceries,"21,389",0,CLP,"21,389",CLP,
3/21/25,DBS Savings,Education,,790,0,CLP,790,CLP,iCloud
3/22/25,DBS Savings,Leisure,movies & TV,"13,500",0,CLP,"13,500",CLP,Disney+
3/22/25,DBS Savings,Food & Drinks,restaurants,"37,818",0,CLP,"37,818",CLP,
